country,emission,sink ton/yr
Argentina,198000000,179000000
Australia,389000000,287000000
Brazil,819000000,1810000000
Canada,615000000,1360000000
Chile,33500000,275000000
China,10100000000,749000000
Colombia,164000000,242000000
Congo,6.82E+08,1500000000
Finland,47700000,76800000
France,239000000,132000000
Germany,628000000,100000000
India,2420000000,115000000
Indonesia,1480000000,644000000
Iran,630000000,3610000
Japan,1050000000,171000000
Kazakhstan,209000000,26700000
Malaysia,334000000,114000000
Mexico,464000000,211000000
Norway,17000000,52800000
Peru,147000000,173000000
Philippines,148000000,96200000
Portugal,44900000,14200000
Russia,1150000000,400000000
Saudi arabia,524000000,160000
South Africa,446000000,40400000
South korea,565000000,39600000
Turkey,368000000,25000000
Ukraine,163000000,91500000
United Arab Emirates,189000000,1800000
United States,4590000000,1530000000
