country,emission,sink ton/yr
Brazil,819000000,1.81E+09
United States,4590000000,1.53E+09
Congo,6.82E+08,1.50E+09
Canada,615000000,1.36E+09
China,10100000000,7.49E+08
Indonesia,1480000000,6.44E+08
Russia,1150000000,4.00E+08
Australia,389000000,2.87E+08
Chile,33500000,2.75E+08
Colombia,164000000,2.42E+08
Mexico,464000000,2.11E+08
Argentina,198000000,1.79E+08
Peru,147000000,1.73E+08
Japan,1050000000,1.71E+08
France,239000000,1.32E+08
India,2420000000,1.15E+08
Malaysia,334000000,1.14E+08
Germany,628000000,1.00E+08
Philippines,148000000,9.62E+07
Ukraine,163000000,9.15E+07
Finland,47700000,7.68E+07
Norway,17000000,5.28E+07
South Africa,446000000,4.04E+07
South korea,565000000,3.96E+07
Kazakhstan,209000000,2.67E+07
Turkey,368000000,2.50E+07
Portugal,44900000,1.42E+07
Iran,630000000,3.61E+06
United Arab Emirates,189000000,1.80E+06
Saudi arabia,524000000,1.60E+05
