country,Li,Co,Mn,Ni,cathode,graphite,PP,PE,Cu,Al,cell,PET,electronics,noncell,battery
Argentina,6200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,5579.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,2200,0,64833.1,0,0,0,0,0,0,0,0,0,0,0,0
Canada,500,3100,0,0,0,15000,0,0,0,66700,0,0,0,0,0
Chile,39000,0,0,0,0,0,0,1450,34437.5,0,0,2500,0,0,0
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0,0,0,34799.25,0,0,5800,0,0,0,0,0,0,0,0
Congo,0,69258.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,1084,0,42000,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,1900,0,0,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,47200,0,0,0,0,0,0,0,0,0
Norway,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0
Peru,0,0,10100,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,0,3500,0,0,0,6012.5,0,0,0,0,0,0,0,0,0
Saudi arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,900,0,0,0,143550,0,0,0,0,0,362500,0,2000,500000,500000
